year;month;mc;v_flow_mean;v_rainfall_total
2011;9;33;2.37;63.60
2011;10;33;5.23;91.00
2011;11;33;6.49;235.18
2011;12;33;6.25;360.14
2012;1;33;9.17;257.50
2012;2;33;4.74;631.20
2012;3;33;5.82;209.77
2012;4;33;5.03;0.00
2012;5;33;2.78;0.00
2012;6;33;1.96;0.00
2012;7;33;1.69;0.00
2012;8;33;1.52;0.00
2012;9;33;1.41;0.00
2012;10;33;1.84;0.00
2012;11;33;4.46;326.90
2012;12;33;6.34;378.90
2013;1;33;6.40;235.60
2013;2;33;4.77;216.53
2013;3;33;4.37;274.69
2013;4;33;4.01;218.32
2013;5;33;3.23;153.05
2013;6;33;2.58;287.56
2013;7;33;1.67;33.99
2013;8;33;1.23;48.78
2013;9;33;1.07;101.40
2013;10;33;2.17;114.35
2013;11;33;4.17;321.07
2013;12;33;6.96;299.67
2014;1;33;5.22;369.50
2014;2;33;4.13;352.21
2014;3;33;3.67;201.00
2014;4;33;3.82;294.17
2014;5;33;3.18;135.07
2014;6;33;2.74;341.89
2014;7;33;2.15;75.58
2014;8;33;1.71;11.26
2014;9;33;1.60;14.80
2014;10;33;2.94;175.30
2014;11;33;5.25;507.35
2014;12;33;7.84;344.24
2015;1;33;5.82;395.21
2015;2;33;4.85;147.97
2015;3;33;4.43;346.24
2015;4;33;4.47;211.31
2015;5;33;3.43;169.39
2015;6;33;2.98;27.49
2015;7;33;2.34;28.90
2015;8;33;1.89;62.07
2015;9;33;1.72;15.57
2015;10;33;3.33;28.66
2015;11;33;5.54;271.21
2015;12;33;7.79;386.89
2016;1;33;6.23;16.35
2016;2;33;5.14;271.03
2016;3;33;4.76;126.71
2016;4;33;4.74;204.00
2016;5;33;3.54;270.91
2016;6;33;3.04;267.67
2016;7;33;2.42;76.87
2016;8;33;1.97;43.06
2016;9;33;1.80;75.09
2016;10;33;3.38;79.11
2016;11;33;5.67;270.40
2016;12;33;8.01;308.89
2017;1;33;6.64;472.79
2017;2;33;5.40;387.81
2017;3;33;4.94;198.36
2017;4;33;4.82;309.23
2017;5;33;3.46;379.00
2017;6;33;2.91;201.44
2017;7;33;2.34;166.86
2017;8;33;1.98;37.43
2017;9;33;1.79;75.10
2017;10;33;3.28;70.98
2017;11;33;5.53;269.91
2017;12;33;8.16;217.97
2018;1;33;6.41;355.54
2018;2;33;5.42;296.24
2018;3;33;4.92;395.62
2018;4;33;4.81;195.47
2018;5;33;3.47;207.81
2018;6;33;2.98;257.77
2018;7;33;2.41;40.88
2018;8;33;2.03;53.30
2018;9;33;1.84;36.27
2018;10;33;3.25;58.56
2018;11;33;5.59;305.86
2018;12;33;8.42;627.49
2019;1;33;6.35;52.61
2019;2;33;5.11;326.43
2019;3;33;4.83;175.37
2019;4;33;4.93;181.34
2019;5;33;3.52;392.25
2019;6;33;3.11;200.79
2019;7;33;2.52;41.01
2019;8;33;2.13;64.80
2019;9;33;1.92;4.00
2019;10;33;3.36;144.27
2019;11;33;5.60;273.98
2019;12;33;8.11;584.98
