estacion|nombre|categoria|tecnologia|estado|departamento|municipio|fecha_instalacion|fecha_suspension|area_operativa|corriente|area_hidrografica|zona_hidrografica|subzona_hidrografica|entidad|longitud|latitud
13090030|BERRUGAS|Pluviometrica|Convencional|Activa|Sucre|San Onofre|15/04/1974||Area Operativa 02 - Atl�ntico-Bolivar-Sucre|Cno Rompedero|Caribe|Atrato - Dari�n|R�o And�gueda|INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES|-75.60055556|9.91027778
25027880|GALINDO|Limnimetrica|Convencional|Suspendida|Bolivar|San Jacinto Del Cauca|15/04/1975|15/05/2002|Area Operativa 01 - Antioquia-Choco|Cauca|Magdalena Cauca|Bajo Magdalena- Cauca -San Jorge|Bajo San Jorge - La Mojana|INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES|-74.58333333|8.3
25025230|MONTECRISANTO|Climatica Ordinaria|Convencional|Suspendida|Bolivar|Montecristo|15/08/1974|15/11/2004|Area Operativa 01 - Antioquia-Choco|Cauca|Magdalena Cauca|Bajo Magdalena- Cauca -San Jorge|Bajo San Jorge - La Mojana|INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES|-74.48333333|8.3
48017010|LETICIA|Limnigrafica|Convencional|Activa|Amazonas|Leticia|15/05/1986||Area Operativa 11 - Cundinamarca-Amazonas-San Andr�s|Amazonas|Amazonas|Amazonas - Directos|Directos R�o Amazonas (mi)|INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES|-69.94272222|-4.22252778
25020800|BUENAVISTA|Pluviometrica|Convencional|Activa|Bolivar|Ach�|14/04/1974||Area Operativa 02 - Atl�ntico-Bolivar-Sucre|0|Magdalena Cauca|Cauca|Directos Bajo Cauca - Cga La Raya entre r�o Nech�|INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES|-74.52972222|8.57305556
21057030|PUENTE RICAURTE - AUT|Limnigrafica|Convencional|Activa|Cauca|Peez (Belalcazar)|15/06/1971||Area Operativa 04 - Huila-Caqueta|Paez|Magdalena Cauca|Alto Magdalena|R�o Peez|INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES|-75.96158333|2.52291667
21087080|HACIENDA VENECIA - AUT|Limnigrafica|Automatica con Telemetria|Activa|Huila|Yaguar�|15/06/1983||Area Operativa 04 - Huila-Caqueta|Yaguara|Magdalena Cauca|Alto Magdalena|R�o Yaguar� y R�o Iquira|INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES|-75.54430556|2.64380556
21167090|HACIENDA EL RUBY - AUT|Limnigrafica|Convencional|Activa|Tolima|Cunday|15/08/1991||Area Operativa 10 - Tolima|Cunday|Magdalena Cauca|Alto Magdalena|R�o Prado|INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES|-74.71902778|4.01105556
35017020|PUENTE LLERAS - AUT|Limnigrafica|Automatica con Telemetria|Activa|Meta|Puerto L�pez|15/03/1972||Area Operativa 03 - Meta-Guaviare-Guainia|Meta|Orinoco|Meta|Directos Rio Metica entre r�os Guayuriba y Yucao|INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES|-72.93638333|4.10301944
21167080|LA MORA - AUT|Limnigrafica|Automatica con Telemetria|Activa|Tolima|Prado|15/10/1990||Area Operativa 10 - Tolima|Negro|Magdalena Cauca|Alto Magdalena|R�o Prado|INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES|-74.82644444|3.72519444
21137010|PURIFICACION - AUT|Limnigrafica|Automatica con Telemetria|Activa|Tolima|Purificaci�n|15/11/1959||Area Operativa 10 - Tolima|Magdalena|Magdalena Cauca|Alto Magdalena|R�o Aipe, R�o Chenche y otros directos al Magdalena|INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES|-74.93577778|3.84952778
21137050|RIO ANGOSTURA  - AUT|Limnigrafica|Automatica con Telemetria|Activa|Tolima|Natagaima|14/01/1975||Area Operativa 04 - Huila-Caqueta|Magdalena|Magdalena Cauca|Alto Magdalena|R�o Aipe, R�o Chenche y otros directos al Magdalena|INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES|-75.11880556|3.44319444
21217180|MONTEZUMA|Limnigrafica|Automatica con Telemetria|Activa|Tolima|Ibagu�|15/12/1973||Area Operativa 10 - Tolima|Combeima|Magdalena Cauca|Alto Magdalena|R�o Coello|INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES|-75.28605556|4.48205556
21237010|NARINO - AUT|Limnigrafica|Convencional|Activa|Cundinamarca|Nariño (Cundinamarca)|15/08/1977||Area Operativa 10 - Tolima|Magdalena|Magdalena Cauca|Alto Magdalena|R�o Op�a|INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES|-74.838375|4.38777778
22057010|PIEDRAS DE COBRE  - AUT|Limnigrafica|Automatica con Telemetria|Activa|Tolima|Salda�a|14/09/1959||Area Operativa 10 - Tolima|Saldana|Magdalena Cauca|Salda�a|Bajo Salda�a|INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES|-75.10327778|3.90838889
26127010|EL ALAMBRADO|Limnigrafica|Automatica con Telemetria|Activa|Valle del Cauca|Caicedonia|15/01/1953||Area Operativa 09 - Cauca-Valle-Caldas|La Vieja|Magdalena Cauca|Cauca|R�o La Vieja|INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES|-75.87538889|4.41025
26127040|CARTAGO|Limnigrafica|Automatica con Telemetria|Activa|RIsaralda|Pereira|15/01/1945||Area Operativa 09 - Cauca-Valle-Caldas|La Vieja|Magdalena Cauca|Cauca|R�o La Vieja|INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES|-75.89925|4.75761111
26137220|EL RETEN - AUT|Limnigrafica|Automatica con Telemetria|Activa|RIsaralda|Santa Rosa De Cabal|15/11/1993||Area Operativa 09 - Cauca-Valle-Caldas|Otun|Magdalena Cauca|Cauca|R�o La Vieja|INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES|-75.60344444|4.72819444
26177030|LA VIRGINIA - AUT|Limnigrafica|Automatica con Telemetria|Activa|RIsaralda|La Virginia|15/10/1946||Area Operativa 09 - Cauca-Valle-Caldas|Cauca|Magdalena Cauca|Cauca|R�o Ot�n y otros directos al Cauca|INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES|-75.88269444|4.8925
24015110|LA BOYERA - AUT|Climatica Ordinaria|Automatica con Telemetria|Activa|Cundinamarca|Ubat�|15/03/1960||Area Operativa 11 - Cundinamarca-Amazonas-San Andr�s|Bogota|Magdalena Cauca|Sogamoso|R�o Su�rez|INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES|-73.85175|5.30380556
23017040|ESPERANZA LA|Limnigrafica|Automatica con Telemetria|Activa|Tolima|Mariquita|15/09/1988||Area Operativa 10 - Tolima|Guali|Magdalena Cauca|Medio Magdalena|R�o Gual�|INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES|-74.91372222|5.20616667
54017040|TADO - AUT|Limnigrafica|Automatica con Telemetria|Activa|Choco|Tad�|15/08/1973||Area Operativa 09 - Cauca-Valle-Caldas|San Juan|Pacifico|San Ju�n|R�o San Juan Alto|INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES|-76.56275|5.26511111
35217030|PUENTE LA CABANA|Limnigrafica|Automatica con Telemetria|Activa|Casanare|Yopal|15/12/1979||Area Operativa 06 - Boyaca-Casanare-Vichada|Cravo Sur|Orinoco|Meta|R�o Cravo Sur|INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES|-72.45522222|5.43794444
23037010|PUERTO SALGAR - AUT|Limnigrafica|Automatica con Telemetria|Activa|Cundinamarca|Puerto Salgar|15/01/1936||Area Operativa 10 - Tolima|Magdalena|Magdalena Cauca|Medio Magdalena|Directos al Magdalena entre R�os Seco y Negro (md)|INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES|-74.66216667|5.46966667
23067060|TOBIA  - AUT|Limnigrafica|Automatica con Telemetria|Activa|Cundinamarca|Nimaima|14/12/1986||Area Operativa 11 - Cundinamarca-Amazonas-San Andr�s|Negro|Magdalena Cauca|Medio Magdalena|R�o Negro|INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES|-74.44705556|5.12530556
23057140|SAN MIGUEL - AUT|Limnigrafica|Automatica con Telemetria|Activa|Antioquia|Sons�n|15/08/1974||Area Operativa 10 - Tolima|La Miel|Magdalena Cauca|Medio Magdalena|R�o La Miel (Saman�)|INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES|-74.72583333|5.73102778
26207080|BOLOMBOLO|Limnigrafica|Automatica con Telemetria|Activa|Antioquia|Venecia (Antioquia)|15/10/1971||Area Operativa 01 - Antioquia-Choco|Cauca|Magdalena Cauca|Cauca|Directos R�o Cauca  entre R�o San Juan y  Pto Valdivia|INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES|-75.84|5.97
23097030|PUERTO BERRIO - AUT|Limnigrafica|Automatica con Telemetria|Activa|Antioquia|Puerto Berr�o|15/01/1936||Area Operativa 08 - Santanderes-Arauca|Magdalena|Magdalena Cauca|Medio Magdalena|Ri� San Bartolo y otros directos al Magdalena Medio|INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES|-74.40116667|6.48513889
23127020|PUERTO ARAUJO - AUT|Limnigrafica|Automatica con Telemetria|Activa|Santander|Cimitarra|15/10/1965||Area Operativa 08 - Santanderes-Arauca|Carare|Magdalena Cauca|Medio Magdalena|R�o Carare (Minero)|INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES|-74.08583333|6.52555556
23087210|CANTERAS - AUT|Limnigrafica|Automatica con Telemetria|Activa|Antioquia|Puerto Nare|15/07/1973||Area Operativa 10 - Tolima|Nare|Magdalena Cauca|Medio Magdalena|R�o Nare|INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES|-74.67330556|6.27608333
23195190|SAN ANTONIO SANTANDER|Climatica Principal|Automatica con Telemetria|Suspendida|Santander|Floridablanca|15/01/1991|15/01/1991|Area Operativa 08 - Santanderes-Arauca|Magdalena|Magdalena Cauca|Medio Magdalena|R�o Lebrija y otros directos al Magdalena|INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES|-73.06619444|7.09952778
37057020|ALCARAVAN  AUT|Limnigrafica|Automatica con Telemetria|Activa|Arauca|Arauquita|14/11/1997||Area Operativa 08 - Santanderes-Arauca|Arauca|Orinoco|Arauca|Rio Banadia y otros Directos al R�o Arauca|INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES|-71.41638889|7.035
25017010|MONTELIBANO - AUT|Limnigrafica|Automatica con Telemetria|Activa|Cordoba|Montel�bano|15/04/1973||Area Operativa 02 - Atl�ntico-Bolivar-Sucre|San Jorge|Magdalena Cauca|Bajo Magdalena- Cauca -San Jorge|Alto San Jorge|INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES|-75.41733333|7.98797222
13037040|CARRIZOLA - AUT|Limnimetrica|Convencional|Activa|Cordoba|Tierralta|15/06/1990||Area Operativa 02 - Atl�ntico-Bolivar-Sucre|Sinu|Caribe|Sin�|Medio Sin�|INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES|-76.09555556|8.16083333
27037010|LA ESPERANZA NECHI|Limnigrafica|Automatica con Telemetria|Activa|Antioquia|Nech�|09/03/1975||Area Operativa 01 - Antioquia-Choco|Nechi|Magdalena Cauca|Nech�|Directos al Bajo Nech� (mi)|INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES|-74.79|8.03
27037030|SAN JUAN NECHI - AUT|Limnigrafica|Automatica con Telemetria|Activa|Antioquia|Zaragoza|14/05/1976||Area Operativa 01 - Antioquia-Choco|Nechi|Magdalena Cauca|Nech�|Directos al Bajo Nech� (mi)|INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES|-74.92083333|7.475
23207040|SAN PABLO RIO MAGDALENA  - AUT|Limnigrafica|Automatica con Telemetria|Activa|Bolivar|San Pablo (Bolivar)|14/07/1977||Area Operativa 08 - Santanderes-Arauca|Magdalena|Magdalena Cauca|Medio Magdalena|Directos al Magdalena (Brazo Morales)|INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES|-73.91855556|7.48033333
16057030|LA CABANA - AUT|Limnigrafica|Automatica con Telemetria|Activa|Norte de Santander|Oca�a|14/10/1971||Area Operativa 08 - Santanderes-Arauca|Algodonal|Caribe|Catatumbo|R�o Algodonal (Alto Catatumbo)|INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES|-73.31825|8.19780556
16017020|LA DONJUANA - AUT|Limnigrafica|Automatica con Telemetria|Activa|Norte de Santander|Chin�cota|15/08/1972||Area Operativa 08 - Santanderes-Arauca|Pamplonita|Caribe|Catatumbo|R�o Pamplonita|INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES|-72.60547222|7.68797222
16017030|LA UCHEMA - AUT|Limnigrafica|Automatica con Telemetria|Suspendida|Norte de Santander|Villa Del Rosario|15/10/1981|13/07/2018|Area Operativa 08 - Santanderes-Arauca|Tachira|Caribe|Catatumbo|R�o Pamplonita|INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES|-72.474|7.69422222
25017020|SAN PEDRO - AUT|Limnigrafica|Automatica con Telemetria|Activa|Cordoba|Puerto Libertador|15/05/1989||Area Operativa 02 - Atl�ntico-Bolivar-Sucre|San Pedro|Magdalena Cauca|Bajo Magdalena- Cauca -San Jorge|Alto San Jorge|INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES|-75.70972222|7.85388889
25027020|EL BANCO - AUT|Limnigrafica|Automatica con Telemetria|Activa|Magdalena|El Banco|15/01/1934||Area Operativa 02 - Atl�ntico-Bolivar-Sucre|Magdalena|Magdalena Cauca|Cesar|Bajo Cesar|INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES|-73.96944444|8.99252778
15067050|CUESTECITAS - AUT|Limnigrafica|Automatica con Telemetria|Activa|La Guajira|Albania (La guajira)|15/03/1958||Area Operativa 05 - Magdalena-Cesar-Guajira|Rancheria|Caribe|Caribe - Guajira|R�o Rancher�a|INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES|-72.55344444|11.18033333
13095010|COVENAS - AUT|Meteorologica Especial|Automatica con Telemetria|Suspendida|Sucre|Tol�|15/02/1980|15/04/1992|Area Operativa 02 - Atl�ntico-Bolivar-Sucre|Manzanares|Caribe|Caribe - Litoral|Directos Caribe Golfo de Morrosquillo|INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES|-75.66666667|9.38333333
25027450|PLATO MAGDALENA|Limnimetrica|Convencional|Activa|Magdalena|Plato|15/08/1964||Area Operativa 02 - Atl�ntico-Bolivar-Sucre|Magdalena|Magdalena Cauca|Bajo Magdalena|Directos Bajo Magdalena entre El Banco y El Plato|INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES|-74.80583333|9.78777778
17035010|SERRANILLA - AUT|Climatica Ordinaria|Automatica con Telemetria|Suspendida|Archipielago de San Andres, Providencia y Santa Catalina|San Andr�s (Archipielago de San Andr�s, Providencia y Santa Catalina)|15/12/1998|12/06/2019|Area Operativa 11 - Cundinamarca-Amazonas-San Andr�s|Mar Caribe|Caribe|Islas Caribe|Roncador y Quitasue�o|INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES|-79.85222222|15.7975
13057010|NUEVA COLOMBIA|Limnigrafica|Convencional|Activa|Cordoba|Monter�a|15/06/1990||Area Operativa 02 - Atl�ntico-Bolivar-Sucre|Sinu|Caribe|Sin�|Medio Sin�|INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES|-75.97861111|8.49944444
29047070|SAN PEDRITO - AUT|Limnigrafica|Automatica con Telemetria|Activa|Atlantico|Suan|15/05/1978||Area Operativa 02 - Atl�ntico-Bolivar-Sucre|Magdalena|Magdalena Cauca|Bajo Magdalena|Canal del Dique margen derecho|INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES|-74.90786111|10.26822222
14019030|ESCUELA NAVAL CIOH - AUT|Limnigrafica|Automatica con Telemetria|Activa|Bolivar|Cartagena De Indias|15/07/1991||Area Operativa 02 - Atl�ntico-Bolivar-Sucre|Mar Caribe|Caribe|Caribe - Litoral|Arroyos Directos al Caribe|INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES|-75.53383056|10.39056389
13067020|MONTERIA  - AUT|Limnigrafica|Automatica con Telemetria|Activa|Cordoba|Monter�a|15/02/1963||Area Operativa 02 - Atl�ntico-Bolivar-Sucre|Sinu|Caribe|Sin�|Bajo Sin�|INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES|-75.89241667|8.75161111
13070040|RABOLARGO|Pluviometrica|Convencional|Activa|Cordoba|Ceret�|15/01/1963||Area Operativa 02 - Atl�ntico-Bolivar-Sucre|Cga. Mantequera|Caribe|Sin�|Bajo Sin�|INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES|-75.74247222|8.95061111
57027010|GORGONA LA PLAYA|Limnimetrica|Convencional|Activa|Cauca|Guapi|15/05/1986||Area Operativa 07 - Nariño-Putumayo|Quebrada Don Abad|Pacifico|Baud� - Directos Pacifico|R�o Docampad� y Directos Pac�fico|INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES|-78.17416667|2.96388889
57020010|ALTO DE LOS MICOS|Pluviometrica|Convencional|Suspendida|Cauca|Guapi|15/05/1986|15/12/1991|Area Operativa 07 - Nariño-Putumayo|Quebrada Don Abad|Pacifico|Baud� - Directos Pacifico|R�o Docampad� y Directos Pac�fico|INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES|-78.18333333|3
57027020|GORGONA BOCATOMA|Limnimetrica|Convencional|Suspendida|Cauca|Guapi|15/05/1986|15/07/1995|Area Operativa 07 - Nariño-Putumayo|Quebrada Don Abad|Pacifico|Baud� - Directos Pacifico|R�o Docampad� y Directos Pac�fico|INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES|-78.16666667|3.01666667
25027270|LAS FLORES|Limnimetrica|Convencional|Activa|Antioquia|Nech�|15/06/1968||Area Operativa 01 - Antioquia-Choco|Cauca|Magdalena Cauca|Bajo Magdalena- Cauca -San Jorge|Bajo San Jorge - La Mojana|INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES|-74.77344444|8.10241667
25020850|REGENCIA|Pluviometrica|Convencional|Suspendida|Bolivar|Montecristo|15/05/1974|15/10/1992|Area Operativa 01 - Antioquia-Choco|Cauca|Magdalena Cauca|Bajo Magdalena- Cauca -San Jorge|Bajo San Jorge - La Mojana|INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES|-74.65|8.13333333
25027910|LA RAYA|Limnimetrica|Convencional|Activa|Bolivar|San Jacinto Del Cauca|15/03/1975||Area Operativa 01 - Antioquia-Choco|Cno Caribona|Magdalena Cauca|Bajo Magdalena- Cauca -San Jorge|Bajo San Jorge - La Mojana|INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES|-74.56122222|8.34455556
